"pitchid","pitcherid","yearid","height","initspeed","breakx","breakz","initposx","initposz","extension","spinrate","type"
1,5,1,72,83.7744244253538,-1.29310604632706,4.45166984699867,-1.33064149208032,6.06595575472312,6.31796054797658,1386.45924310874,3
2,5,1,72,89.6427141178783,-6.55055614762817,7.9934550661125,-1.55646263774371,5.71912488882514,6.11952568714829,1963.26497716322,9
3,4,1,72,91.750647817953,-6.98557384729093,8.99126383145121,-2.05513389956554,5.78031234084234,6.20120042057192,2360.75826273649,9
4,5,1,72,83.1897659396298,-2.54920351897944,4.84471362276113,-1.00101989692078,6.24013832120209,6.07415648494001,858.997787917421,7
5,2,1,80,92.6987384351549,-5.2165158210361,7.26776941957776,-2.09764300500931,5.77613836316487,6.21228076778798,2060.15509894218,9
6,2,1,80,93.4651007561684,-3.70518041103728,9.57583023509858,-2.41209670608802,5.93042273221995,6.36212743737033,2150.55782589205,10
7,5,1,72,90.1333505265087,-3.45745595867925,9.39435135803824,-1.71219811973921,5.87899710179927,6.3152983869205,2070.61005626074,10
8,2,1,80,94.9884491268339,-0.475621741841487,9.40916846540479,-1.70833347037198,6.16879943959323,6.56533664418957,2254.63891185328,10
9,5,1,72,90.9340099060121,-1.1736927739375,7.68528674553269,-1.0055939373455,5.96301365937062,5.98684585319904,1740.42324985828,10
10,4,1,72,87.3744637972813,1.51263262785117,4.5632569708327,-2.33163656538742,5.98252456880355,6.22516502734034,2442.32813227591,8
11,5,1,72,89.8432786910965,-2.05323752336721,6.46535577702628,-1.17567134121905,5.73104430791468,6.09325774609054,2208.6178600633,8
12,5,1,72,91.8643483436679,-5.33557878572451,8.92064176356268,-1.47180200485793,5.88130115224148,6.14032784112214,2191.53859553399,10
13,4,1,72,90.9303743776991,-5.17044087302026,11.6383901158727,-1.9971167378407,5.97677132477372,6.30871172603996,2307.40665396099,10
14,4,1,72,87.4077558030341,4.03095454271618,3.99817208274514,-2.15483060661099,5.8484272647072,6.04884198662578,2557.14795861251,8
15,2,1,80,84.3796231456939,-6.01317792894767,2.97022701743154,-2.65514459591444,5.79343926926978,6.14710512537421,1821.12811058773,4
16,5,1,72,88.6943783309934,-8.58152542111088,7.98415564491715,-1.5484544411596,5.62463784238187,6.60851679308072,1883.92346949892,9
17,5,1,72,84.2138429052521,-2.73990340800294,1.80084045423152,-1.25486783531305,6.01610985086761,5.95453614926188,571.994356007749,7
18,5,1,72,90.4933204233194,-7.04880954860688,7.62081509238354,-1.91960643775083,5.70884516154819,5.96721702906297,1966.63451205194,9
19,5,1,72,90.4134685821107,-4.19621277053863,8.84503832300706,-1.56180050867565,5.86726879610617,6.46577680272796,1946.07797794762,10
20,2,1,80,93.86517325964,-4.01424102387155,9.1114790078401,-2.29459360509403,5.66311482161839,6.16087604166378,2370.4340036564,9
21,5,1,72,81.5130106007209,-8.94935322498221,2.97828957674581,-1.20353868152817,5.71121860059075,6.11786703906637,1205.54154253817,4
22,2,1,80,95.7097525386472,-5.01771690733005,8.32552179587622,-2.31218302935811,5.89551491516021,6.23694842039837,2299.58972022532,9
23,2,1,80,94.8022973178589,-1.67551574327478,7.71619702487662,-2.17553506657855,5.9376506973847,6.11352170316651,2225.89913987386,10
24,5,1,72,91.5375246258084,-6.55135521061387,8.24297370418665,-1.49171007297874,5.78881775419556,6.11160735487285,1843.82693437174,9
25,2,1,80,95.3157415995274,-1.53547080523069,7.27590371839863,-2.18420258439155,6.01497611206044,6.32754481247869,2247.89593876733,10
26,4,1,72,93.731113072558,-5.05443955196577,7.71183441911442,-2.19545073399224,5.73874321800984,6.43964239867464,2341.58344100861,10
27,2,1,80,93.773517350797,-5.48822620714363,9.49709415626157,-2.46550922243744,5.71598426654708,6.21999358076549,2336.45360298019,9
28,2,1,80,82.3839771397869,6.66305682230681,-7.44882526556655,-1.89466318950731,5.94888126938014,6.28058639332142,2682.68720662905,2
29,5,1,72,91.1041344367931,-11.0532688139071,5.62775407871966,-1.64832383776308,5.46254917496833,6.00135747135165,2017.48034085299,9
30,4,1,72,88.1467164140986,2.33570758357256,7.4552877959731,-1.98721756343737,5.91313765299501,5.80805996126097,2520.98815671359,8
31,5,1,72,83.3208381626411,-7.41734097068772,-0.354169313028208,-0.956158116415965,5.8653986591977,6.0926620752366,1113.0901837039,7
32,2,1,80,94.6469458418054,-5.42119802268974,3.39855366632292,-2.31217749050726,5.51131954943141,6.31162784243115,2158.72012003025,9
33,5,1,72,91.7234249521844,-3.92398795419365,9.32508621240219,-1.34926663780032,5.94652560526322,6.08059138276512,2031.43283268809,10
34,4,1,72,93.0898270012778,-4.32954879687042,10.3851678649659,-1.84991501259789,6.02659535380207,6.43284504960831,2500.52033465893,10
35,5,1,72,91.013842476036,-6.25986003695548,7.38308027959187,-1.63337945683788,5.74040972443627,6.24817225704611,1862.46590931561,9
36,2,1,80,94.7879673266313,-6.47085216329457,4.63407716835004,-2.12083879928406,5.68895491239645,6.23716067840786,2387.6590617575,9
37,2,1,80,82.0124583111681,7.40013660750568,-6.31578908840829,-2.15736419542153,5.87324757926982,5.96077759391458,2802.97604838106,2
38,5,1,72,89.2983147979616,-2.21207806715338,9.76276509998917,-1.28578084672368,5.97490420899101,6.16803124167132,2063.61463737023,10
39,5,1,72,90.4904921168296,-3.25396335739144,9.93311445490181,-0.939020790038089,6.01476562620328,6.22218275680887,2085.88708298513,10
40,2,1,80,82.7861330999364,1.77449838511288,-6.19510972373749,-2.65844858741812,5.95169923254096,5.83131778636967,2503.13503710296,2
41,2,1,80,93.5855164713364,-2.88226995910128,9.30936789136021,-2.58911005874267,5.69966133720459,6.3546090851796,2292.34554465915,10
42,2,1,80,94.8124868589834,-3.65632990889916,10.5041282021423,-1.76491285212235,5.97904714933853,6.35824804494876,2228.089132488,9
43,5,1,72,84.8293680249596,0.608765163812135,3.0989819549102,-0.778093309745165,6.07876132232366,6.30938803016624,1292.18734457434,7
44,2,1,80,88.6032455107734,-1.78027973733853,7.3290968916801,-1.60438543291193,6.05280296930068,6.43061253270759,1507.51046187558,4
45,5,1,72,90.3445224666667,-2.73471811814497,8.58641078810209,-1.44833872963326,5.90384369844167,6.19312121041907,1960.86104880732,10
46,4,1,72,90.8356779935977,-4.14419576077476,11.01454336102,-1.78972581240655,5.76427866271331,6.51067757288766,2160.65314426316,10
47,5,1,72,91.1084822702212,-2.75031990658048,11.4807175622821,-1.23656180621955,5.89136901118649,6.32127657753419,1977.25392130997,10
48,4,1,72,80.1581508184824,1.77883666489972,-1.32794170960089,-2.12918882190738,5.81004624050276,6.34715658910426,2616.3568992682,2
49,5,1,72,90.5295763452678,-6.27176092911051,7.64687800569132,-1.6776220065279,5.71074193169276,6.06873220518126,2105.2371145108,9
50,5,1,72,81.8339973026717,-1.59209660887238,1.99826193802473,-1.01325697132413,6.00361859605885,6.11679175542506,779.27937781304,7
51,4,1,72,86.3502111315781,-7.40355350095569,-0.248827968954213,-2.08765850179841,5.76429225296221,6.13496821916976,1367.85319173181,4
52,5,1,72,90.0720513943787,-1.46009882475844,10.6533862197044,-1.01564531132788,5.96867686534093,5.98102313961174,1955.89231467129,10
53,4,1,72,93.9205598316516,-5.95818439184826,11.1838269036145,-1.85251217282028,6.12197253454879,6.27626164504567,2410.48644625267,10
54,5,1,72,89.9499664429731,-6.38141911834673,4.89629201739797,-1.7618848086387,5.67139100764257,6.50709578984514,1808.56523350219,9
55,5,1,72,84.1515546853695,0.422409267892981,-0.0522084679555421,-0.898670779576567,6.12020501616462,5.85607784654895,825.23309403951,7
56,5,1,72,80.9350175212763,-5.22920263788577,3.53308661964153,-1.21218214836919,5.68713364627166,6.25508874461186,1075.63376176211,4
57,4,1,72,92.5598414380904,-2.81953930994094,7.28063709272464,-1.89903107477767,5.68704109866299,5.87466679202323,2358.61655870098,10
58,4,1,72,93.0728693934685,-6.54889511690849,7.14210782885661,-2.11008071736569,5.90850632486978,6.33415529890273,2254.64462653724,9
59,5,1,72,82.2839860063769,-1.32503081416996,2.91931933891708,-1.05459100583032,5.97453221443376,6.54119632495301,1912.3617440471,7
60,5,1,72,84.9520356290638,-2.4004544343159,3.356125790862,-0.755674598010006,6.16027762875537,6.00368710839608,711.823245881941,7
61,5,1,72,91.0877249794209,-8.07463421585212,5.33025668762675,-1.39105210413168,5.7643819400987,6.66365925093208,2009.82347968026,9
62,2,1,80,78.7273897670577,4.76854394694004,-6.55190778908482,-2.10043220477859,5.90376564566316,5.85302933386425,2591.57819154647,2
63,1,1,76,76.3651675526744,7.77075805387974,-7.81229674696505,-1.58969115765824,6.57454361102168,6.22228570426436,3049.7900954323,2
64,5,1,72,84.6719194440492,-4.44534101843348,2.46662512688273,-0.934026114276406,5.99820072168359,6.64601232423302,960.103418503694,7
65,5,1,72,90.9511047339458,-1.66853961351494,13.3565284701011,-1.12452368320859,5.95457933803299,5.96831053754266,1981.50825649828,10
66,5,1,72,90.4891656055122,-2.11567594655477,10.6468577896309,-1.23152300932432,6.00621535378031,5.90878264743449,2047.93737415327,10
67,2,1,80,82.7162799942436,6.95345498151797,-4.64244236466633,-2.30675006982227,5.84103309868492,6.11323481578181,2777.70364129087,2
68,5,1,72,90.173165248882,-7.314605978439,9.15010543925078,-1.21102655819808,5.74570653175932,5.9063486532323,1930.30070383487,9
69,2,1,80,93.1722477800636,-7.75817537836968,5.50863092936901,-2.30725716683725,5.70102837537766,6.10418929900151,2011.02706791339,9
70,2,1,80,92.7313576333283,-5.13098389551272,11.4163405880983,-2.22220803602116,6.01642237731114,6.2560838271701,2429.18870979515,10
71,5,1,72,77.2853439161063,6.64445514874918,-4.54607633238678,-1.09099597762664,5.80026877627077,6.18340626747683,2574.34621200918,3
72,4,1,72,88.0400702976329,2.12681412519803,3.4184799922866,-2.00493128669663,5.76106345190081,6.31994786324287,2356.72880011168,8
73,5,1,72,88.7409666201937,-2.04506339391269,9.97591265293142,-1.80811169041025,5.98045082124133,6.2171492771221,1997.7880594329,10
74,5,1,72,89.9939310015312,-8.54912479502205,7.5405318431396,-1.75902176932677,5.65033750503197,6.12277487858393,1843.90880640424,9
75,4,1,72,92.1397168262542,-2.51415988875699,8.97758288098383,-1.97059620833486,5.83890667631484,5.73924315572323,2184.80560077782,10
76,1,1,76,86.5075279253105,-8.12180160252377,5.17322649803315,-1.76491218977585,6.58830073865601,6.10455694787893,2054.99592886285,10
77,1,1,76,89.3741378670631,-2.98575449018413,6.69832998906179,-2.16162372377894,6.21037424660661,6.28239846585802,2204.59201398669,10
78,4,1,72,92.9748636065255,-8.86222100950321,7.188082497011,-2.1301647077105,5.80242640767256,5.75001911785786,2329.41593843828,9
79,1,1,76,86.3276640570699,-5.96588133125012,1.56992198670724,-2.3306348257359,6.20457868410675,5.94030266469817,2230.20886287177,9
80,5,1,72,80.1064629335911,-7.74210378147109,5.1229611217659,-1.34543566732184,5.82117776304702,6.50019008885602,1179.09180788373,4
81,2,1,80,94.3926626113691,-1.70694376684454,8.84352843740017,-2.53879404282811,5.7956432883163,6.22437672440124,2189.63006414352,10
82,4,1,72,82.4813700471939,3.38299523275817,2.32967862251761,-1.547392387775,6.07006862581415,6.31285017559976,2361.22057790625,2
83,2,1,80,91.5964384965695,-8.6161601466213,6.81852097038098,-2.40950839621586,5.72258644578588,6.05326532492619,2024.55637859174,9
84,5,1,72,90.6958786932445,-4.21632872622678,9.92468635343131,-1.08751402323501,6.02185675076538,6.24692115588847,2116.45059857682,10
85,5,1,72,91.3049842450741,-0.716370813080419,9.80759097837621,-0.746889649554767,6.02801534548466,6.1256227972211,1958.85545645705,10
86,4,1,72,80.8862355053311,3.25603650484558,-2.99085661017909,-2.02109285157912,5.83444085991933,6.43805363465634,2661.44344069297,2
87,4,1,72,92.3734484281246,-8.6938295704201,4.92674529860658,-2.09539910507759,5.75380213239298,6.46910623874438,2165.65323966871,9
88,4,1,72,94.0174800809247,-7.79007556145947,9.62716689895838,-1.94507530155324,6.04024370738589,6.16761129673291,2419.35708286288,10
89,2,1,80,78.0756621064842,8.53154915462509,-9.33883916934713,-1.91169657975815,6.10726426337094,6.40105141371391,2848.25184457073,2
90,2,1,80,86.9717533790633,-4.6462501224413,3.58491433307587,-2.5177041145614,5.61807772298717,6.04832942200224,1468.80559249205,4
91,5,1,72,81.6633140129989,-4.90697320200393,5.51194818895322,-1.81130431046201,5.71152753217569,6.29219468627665,1274.32131717343,4
92,5,1,72,89.8687075751806,-5.46175453522681,5.8414497063915,-1.14097802900119,5.8038038660494,6.13198676247913,1835.28602592963,9
93,2,1,80,90.1961382184711,-3.77606502985858,8.50265573848232,-2.32821818410273,5.61119944105695,6.38272112399469,2133.72468035113,10
94,5,1,72,81.3510095735071,-7.61637316138136,2.81172599920388,-1.30585860542394,5.66115129516106,6.19176346560055,1162.56748859042,4
95,5,1,72,90.8931817341873,-3.50563184551274,8.10279084780231,-1.41761171245931,6.00452277030803,6.51809849075684,1892.13401219734,10
96,4,1,72,92.7463849590037,-4.42552334394956,11.2151961129432,-1.86672474132297,6.01060102024107,6.18385672349961,2398.62908463972,10
97,5,1,72,89.8663342043497,-7.82869518514576,5.63050370891562,-1.49914676191977,5.67549216845396,6.41030156930145,2035.63014383304,9
98,5,1,72,89.6660204626786,-7.19646880961284,7.21324548652703,-1.717172155216,5.97342972282532,6.34725989851278,1770.12426112685,9
99,2,1,80,92.073515568262,1.26084022499114,6.24396512756763,-2.09718844301677,5.75004721626429,5.83879541375106,1993.11976531759,10
100,2,1,80,91.8090678720844,-2.57810086949705,10.1601652807419,-2.14080358738783,5.70794738396541,6.05735960982096,2125.66952693437,10
101,5,1,72,89.9833220102096,-11.272142439622,4.50280458984185,-1.75308030054878,5.54249491947733,5.9008026089391,1806.00694926168,9
102,4,1,72,92.1887968706995,-3.54447706296741,10.7903620679479,-1.75505523797186,5.98902428543765,6.53500321007768,2267.11704848938,10
103,5,1,72,92.0376451095273,-3.00119315754502,8.57836504224462,-1.43094792353082,5.9113195480221,6.19753913841959,2112.7162987865,10
104,4,1,72,94.1076886894848,-4.93308886114403,10.7037659728072,-2.01315641389955,6.14562150163438,6.13722726220892,2390.3066769167,10
105,5,1,72,90.3823884021164,-8.15519919283771,9.0294351324473,-1.51718006584977,5.87685910191389,6.35705926020594,1888.09549269701,9
106,5,1,72,90.2942809602218,-6.26194617531809,6.8226771813601,-1.48328004099315,5.92119024980402,6.08821258141777,1772.1592874966,9
107,2,1,80,93.2157765572234,-8.45439474533978,9.99086476076011,-2.55576785008737,5.72793785002303,6.44945797538858,2232.57365663057,9
108,5,1,72,90.6313369774356,-10.8962969585622,5.32001443262803,-1.85151055306522,5.53187025594714,6.14210008704978,2050.57242982691,9
109,5,1,72,89.7505508554406,-4.05519984661044,9.63847758836328,-1.20149297859422,5.91229698074127,6.15128356767769,1857.8156812359,10
110,5,1,72,83.653862299872,-0.432313889669373,0.188174675359087,-0.553112430676757,6.0468041250231,6.24359579574086,402.252748716053,7
111,2,1,80,94.2460869216526,-5.81177986620338,8.22995655792336,-2.28797091197446,5.63392597812845,6.21486807119197,2192.38214656611,9
112,4,1,72,88.2274318063808,4.94743730878824,3.32046839414086,-2.13827974488369,5.77533390726986,6.33969002222235,2418.65857715822,8
113,4,1,72,91.8460620408031,-6.72950458558364,4.70142562402422,-1.92044644496233,5.66575814818715,5.82004243370475,2198.41470240956,9
114,5,1,72,82.6569028688564,-0.596621145158312,7.58061205344939,-1.37575799636872,5.81744787153454,6.10182405901171,1191.75233612604,4
115,5,1,72,88.7232453939598,-2.13825125709981,11.5066787049505,-1.405615798811,5.78452459652208,5.79629545440354,2026.7344784063,10
116,5,1,72,72.8435118628306,4.66447940294739,-9.58566123468591,-1.0467428014704,5.99890715508588,6.36066681731347,2302.38556178653,2
117,5,1,72,90.894172922271,-3.17791850911142,10.4450438002405,-1.03875822237155,5.95202014755876,6.21672969431103,1923.22990513476,10
118,5,1,72,83.5013639286153,-5.4981760386574,3.61129154063327,-1.39216267486531,5.64501457796712,6.19483792295414,1229.36355525105,4
119,5,1,72,89.4000032852284,-8.24599075659533,7.00551346685514,-1.6506131139493,5.82108212411906,6.17823829302467,1841.51998634512,9
120,4,1,72,93.9270341697494,-6.88615329804663,10.5420584022446,-1.99376424698181,6.16120108361265,6.31701153314555,2321.40589310327,10
121,5,1,72,89.7065297164664,-5.03447892372803,4.98675359003887,-1.34669994334696,5.71761896630726,6.61719967073656,1801.40397257063,9
122,2,1,80,90.6875801438933,-1.30787646566944,6.67548576192156,-2.66427240854405,5.55085917519726,6.47177492668744,2154.78830578388,10
123,2,1,80,96.7437993040153,-3.29847686629916,8.74450477753303,-2.05919044931763,5.75440338080583,6.08636771633581,2315.98486176262,9
124,4,1,72,92.2879121584469,-4.95228972665234,3.93740920662821,-1.80431640483834,5.80133739711392,6.34839553081941,2126.8879037895,9
125,5,1,72,89.2193429565325,-2.43031006093739,10.7359708801105,-1.10234621445161,6.08728846030924,6.31561722092256,1912.76990813333,10
