"pitchid","pitcherid","yearid","height","initspeed","breakx","breakz","initposx","initposz","extension","spinrate"
10648,3,3,77,84.4562280812647,4.15364641712227,9.33881869892183,4.05635324849557,6.48628937068451,6.16605060313671,2257.15320253766
10649,1,3,76,88.2197988477571,-7.08267858764885,3.09177866688992,-2.21835861280757,5.99797660188056,6.52726502817609,2200.83668371183
10650,1,3,76,86.3514687983587,-7.99864564188523,3.87541969124559,-2.34628721663596,5.91978966436414,6.35089615642107,2227.85579755055
10651,4,3,72,93.3098792121041,-2.8000424057905,8.27078140059263,-1.85086548938367,5.8865826411261,6.04478744065004,2188.73535202747
10652,3,3,77,85.2841534113983,9.41161183771334,7.60099901698368,4.21855529302939,6.53622735420687,6.2190904622189,2102.09889525307
10653,1,3,76,80.9815032342506,-5.79548555866431,-3.32621022590857,-1.68192370955549,6.25388947152066,6.2983656789234,1592.80961578199
10654,5,3,72,90.10887361495,-1.0482197781713,10.026856565577,-1.21288129894088,6.0069542142209,6.40843632974517,1839.45718539234
10655,5,3,72,92.4235425877632,-4.10307569576132,12.3349410748572,-1.09304331934432,6.07844517872396,6.42315457010843,2160.67384425863
10656,2,3,80,88.8150137244173,-4.83444937258192,6.39680554815267,-1.99912219669887,5.72887895223051,6.43225132116626,2055.49785774235
10657,5,3,72,88.8324218933569,-10.2512215774332,6.07550625174973,-2.22428139963856,5.64200732353981,6.07800641962803,1911.23176832645
10658,1,3,76,75.1688592447482,4.23534035084053,-10.0663388186157,-1.63401206050212,6.57477348856129,5.93323893636755,3052.33790922755
10659,2,3,80,87.7042846761389,0.0182990960013873,9.28513517104181,-1.92530284198395,5.92656302421613,6.3362102255042,2082.60841867559
10660,1,3,76,75.8032143643109,3.51015623883084,-7.15520027800177,-2.05239236456316,6.21379243850956,6.45575621186216,2975.89399857303
10661,2,3,80,73.4411777212104,-0.129695435367472,-5.85145689513739,-2.47047113341787,5.90440489897415,6.22362724321799,2354.50369643804
10662,2,3,80,77.9867859225833,3.14502324839253,-3.03665499423163,-2.13583009120748,5.75911469067582,6.17239247363894,2392.04025306645
10663,6,3,73,77.7102675925049,-1.38197296026311,-2.71859903873037,1.96858902449134,5.9871022447784,6.28406360914471,2262.26390731837
10664,2,3,80,80.4565228000606,-2.9674942676612,5.64202343340573,-2.10812449492757,5.96721084673006,6.30136744999594,1621.25104199854
10665,4,3,72,92.013984509434,-5.44352435173902,8.78291864889231,-2.31121211642524,5.74248185093838,5.80264827728175,2296.09311119996
10666,1,3,76,87.3336509470384,-8.02555311929606,4.59560631775842,-2.32538224048958,6.46042702823235,5.83072500213701,2164.07983592542
10667,5,3,72,89.779856148959,-6.92038790269981,6.95185758723849,-1.22978599826177,5.86456493415004,6.36619357694965,1882.87992353549
10668,4,3,72,80.6585999830903,3.2733903095153,-6.16650127210554,-1.81176180794602,5.86352381978736,6.14213205942835,2591.96845927435
10669,5,3,72,88.4087641189419,4.03039170864389,3.40872318385604,-1.45942323248898,5.78235655836437,6.16240058710394,2162.11501051356
10670,3,3,77,84.2774518813921,10.8502977289181,4.68398252596048,4.29452226918592,6.43437553279634,6.479275142186,1953.57220957758
10671,2,3,80,87.1284320881957,-0.713677291036125,7.47690628773756,-2.14627121426541,5.56228207096539,6.01920252677379,2149.10859996924
10672,3,3,77,84.8973487333904,10.6688827538412,8.73317972159576,3.94743821926886,6.53488807506822,6.19889983718663,1836.77692996416
10673,5,3,72,89.5146390890236,-4.97982260605225,9.36779455686561,-1.50771978693149,5.95384162668701,6.34959852681221,2020.56712843668
10674,4,3,72,85.9574102367689,-6.74264959474897,6.25785187170759,-1.91364131309905,5.78532145950922,5.99800560272486,1609.88376320393
10675,3,3,77,86.2271250190566,10.9526019443629,8.07201102952862,4.23682126656614,6.55715197613644,6.23526393564575,2035.63628058417
10676,6,3,73,91.7376416634305,3.61553797284939,12.6942909405954,2.17039350456689,6.20620693964347,5.74674648070778,2052.52532555927
10677,2,3,80,88.9496577802228,-1.44016284096732,9.99130923486045,-2.26002397282705,6.1869228387953,5.84357032171208,2271.17243347371
10678,2,3,80,88.21326398715,-8.90531194787146,8.71351120450494,-1.97297202947818,5.83168753466864,6.37374246781967,2439.28705925877
10679,3,3,77,81.4249436219877,-0.719470628754278,4.37281584055703,4.15466745241823,6.35683108576153,6.39721605654214,2126.64967863219
10680,5,3,72,90.6964001610879,-6.00223897985102,4.06457441991609,-1.32479322331256,5.66753560749083,6.23216022548435,1838.23213608751
10681,1,3,76,80.3708088255833,-2.22634707409944,1.32529384516437,-1.9459965265208,6.19477461935836,6.54840369074068,1477.20055582935
10682,4,3,72,81.4893102269867,3.7491869798499,-2.22888200032542,-1.77419289505598,5.9422803558374,5.94573842264422,2600.8047628505
10683,1,3,76,80.385204654424,-5.52794681367895,0.118753505210967,-1.57981057839688,6.10566758118259,6.19759247546798,1584.05699377416
10684,2,3,80,81.3563088463928,-5.50640544294025,3.38795747109824,-2.81692220693589,5.48179908557503,6.29692615706503,1462.73779243322
10685,3,3,77,87.9394625318661,6.90057695099962,10.1806860544329,4.16371637432776,6.49840399488558,6.27223976216767,2217.64367210392
10686,3,3,77,85.8050850455123,8.76880876002231,4.73479101603663,4.12820733751742,6.42293477832853,6.3154791233369,1800.13154018627
10687,3,3,77,85.7391201176864,9.46311656835649,6.62444362640333,4.03984250796102,6.47351894832335,6.14913264789596,2025.85498826449
10688,6,3,73,76.1788132279162,-7.04392817264247,-2.51726950682239,2.24259758670417,5.88344624808225,6.10842059913624,2167.20378706682
10689,3,3,77,87.195269810474,2.4365320633484,8.56037375491515,4.23372932157601,6.58338898671075,5.96395922717328,2078.97071179609
10690,4,3,72,78.4337090441231,3.05966910256991,-5.32762901375014,-2.0343211115549,5.82991384869524,6.3121549531282,2747.02961808229
10691,2,3,80,87.0838522248063,-1.10327625188759,5.50586858166142,-1.90146934821434,5.69564373316672,6.34082774478512,1929.14948442859
10692,3,3,77,86.0701933428789,2.86638235099629,10.6241781301099,4.01910578446632,6.52956650243414,6.50732465878272,2012.27435977817
10693,3,3,77,86.829679362582,2.99954494388417,10.3620745850316,4.01612522810398,6.53884614436665,5.91218066406016,2212.55004581456
10694,3,3,77,83.2386489811521,1.60315770548183,4.04351774146558,4.22708897079289,6.47033908662758,6.56930714009365,2154.20523673022
10695,2,3,80,80.5923854216894,-1.67276860839451,1.75418501000689,-2.18676499718356,5.78543076727916,6.16425948034958,1516.81791871895
10696,2,3,80,85.8387722003684,-5.44379551921463,7.58147795953093,-2.94410245238947,5.60028943509055,6.14767088377878,2441.49367938901
10697,6,3,73,75.8777779074941,-1.57826851572494,0.947368872698052,2.0058505443473,6.03136107359345,6.23978251526073,2162.46709113113
